,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Severity
1673,M621,Dry,Daylight: Street lights present,Fine with high winds,Car,Slight
1674,U,Dry,Darkness: Street lighting unknown,Fine with high winds,Pedal cycleCar,Slight
1675,A660,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Slight
1676,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1677,U,Dry,Darkness: Street lights present and lit,Fine with high winds,Pedal cycleCar,Slight
1678,B6123,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Fatal
1679,A656,Dry,Darkness: No street lighting,Fine with high winds,Car,Slight
1680,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Slight
1681,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1682,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Slight
1683,M1,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1684,M1,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1685,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
1686,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1687,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1688,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1689,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1690,A1(M),Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1691,A1(M),Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1692,A643,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
1693,A658,Wet/Damp,Daylight: Street lights present,Fog or mist (if hazard),Motorcycle over 500cc,Slight
1694,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1695,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1696,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1697,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1698,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1699,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1700,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1701,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Serious
1702,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
1703,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Slight
1704,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1705,U,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car0,Slight
1706,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1707,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
1708,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1709,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Serious
1710,A64,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1711,A658,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
1712,A639,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1713,A639,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1714,A58(M),Dry,Daylight: Street lights present,Fine with high winds,Car,Slight
1715,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Motorcycle Motorcycle over 500cc0cc and under,Serious
1716,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Taxi/Private hire car,Slight
1717,A64,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1718,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
1719,A660,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
1720,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1721,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
1722,M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1723,M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1724,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1725,A660,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1726,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1727,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1728,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1729,U,Wet/Damp,Darkness: No street lighting,Raining with high winds,Motorcycle over 500cc,Serious
1730,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
1731,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1732,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Motorcycle over 500cc,Serious
1733,M62,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycleCar,Slight
1734,M62,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1735,M62,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1736,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Serious
1737,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
1738,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Serious
1739,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
1740,A659,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1741,A659,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1742,M62,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1743,A58(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1744,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1745,A58(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1746,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1747,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
1748,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1749,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1750,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1751,U,Dry,Darkness: Street lights present and lit,Fine with high winds,Pedal cycle,Slight
1752,M1,Dry,Darkness: No street lighting,Fine without high winds,Car,Slight
1753,M1,Dry,Darkness: No street lighting,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under0,Slight
1754,C,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
1755,A6120,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Serious
1756,U,Dry,Darkness: Street lights present and lit,Fine with high winds,Car,Slight
1757,A65,Dry,Darkness: Street lighting unknown,Fine without high winds,Taxi/Private hire car,Slight
1758,A64,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1759,A64,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1760,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle over 500cc,Slight
1761,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
1762,A168,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Slight
1763,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1764,A660,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
1765,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
1766,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
1767,A58,Dry,Darkness: Street lights present and lit,Fine without high winds,Car0,Slight
1768,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
1769,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1770,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under0,Slight
1771,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
1772,A639,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1773,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1774,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1775,A660,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
1776,A64,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cyclePedal cycle,Slight
1777,A64,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cyclePedal cycle,Slight
1778,A64,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cyclePedal cycle,Slight
1779,A64,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cyclePedal cycle,Slight
1780,A61,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1781,A61,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1782,A61,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1783,M62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Serious
1784,M62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1785,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1786,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1787,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1788,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1789,A6110,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1790,A6110,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1791,A6110,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1792,A6110,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1793,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1794,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1795,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1796,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1797,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Slight
1798,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Slight
1799,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Serious
1800,A659,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Slight
1801,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1802,A61,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Serious
1803,U,Frost/Ice,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1804,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1805,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1806,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1807,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1808,C,Frost/Ice,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
1809,B6154,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1810,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1811,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1812,C,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Serious
1813,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Serious
1814,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1815,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1816,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1817,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1818,A660,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
1819,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1820,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1821,C,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
1822,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
1823,A6120,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1824,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1825,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1826,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1827,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1828,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
1829,A660,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Fatal
1830,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1831,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
1832,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1833,A65,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
1834,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
1835,A660,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
1836,A58,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
1837,A65,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
1838,M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1839,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
1840,A65,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
1841,A639,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
1842,A653,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Serious
1843,A1(M),Wet/Damp,Darkness: No street lighting,Raining without high winds,Car,Slight
1844,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Pedal cycle,Slight
1845,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1846,A6110,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1847,U,Dry,Darkness: No street lighting,Fine without high winds,Car,Slight
1848,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
1849,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1850,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1851,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1852,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1853,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1854,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1855,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1856,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1857,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1858,A657,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1859,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1860,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
1861,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
1862,A64,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1863,A64,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1864,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1865,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1866,A58,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1867,A58,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1868,A58,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
1869,U,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
1870,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1871,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1872,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1873,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1874,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cyclePedal cycle,Slight
1875,M1,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1876,M1,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1877,M1,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1878,M1,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1879,A61,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Serious
1880,A64,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1881,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
1882,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
1883,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1884,B6157,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1885,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
1886,A650,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1887,A660,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1888,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
1889,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1890,A6110,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1891,A6110,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1892,A654,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
1893,A647,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1894,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1895,A61,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1896,B6159,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1897,A639,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
1898,M62,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Slight
1899,M62,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Slight
1900,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1901,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1902,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1903,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1904,U,Wet/Damp,Darkness: Street lights present and lit,Other,Motorcycle Motorcycle over 500cc0cc and under,Serious
1905,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
1906,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
1907,A61,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cyclePedal cycle,Slight
1908,A61,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cyclePedal cycle,Slight
1909,A6120,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Serious
1910,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1911,M62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Serious
1912,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1913,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Slight
1914,A1(M),Dry,Darkness: No street lighting,Fine without high winds,Car,Slight
1915,A660,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Serious
1916,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1917,A660,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1918,A660,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1919,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
1920,M621,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Motorcycle over 500cc,Slight
1921,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Slight
1922,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1923,M62,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1924,A62,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Slight
1925,A660,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Pedal cyclePedal cycle,Serious
1926,A65,Wet/Damp,Darkness: Street lights present and lit,Other,Car,Slight
1927,U,Wet/Damp,Darkness: Street lights present and lit,Raining with high winds,Pedal cycleCar,Slight
1928,U,Wet/Damp,Darkness: Street lights present and lit,Raining with high winds,Taxi/Private hire car,Slight
1929,U,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1930,U,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1931,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Slight
1932,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
1933,A63,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
1934,A63,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
1935,A62,Wet/Damp,Darkness: Street lights present and lit,Raining with high winds,Car,Slight
1936,A62,Wet/Damp,Darkness: Street lights present and lit,Raining with high winds,Car,Slight
1937,A62,Wet/Damp,Darkness: Street lights present and lit,Raining with high winds,Car,Slight
1938,A653,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1939,U,Frost/Ice,Daylight: Street lights present,Fine without high winds,Car,Slight
1940,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
1941,A65,Frost/Ice,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1942,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1943,A660,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
1944,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1945,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1946,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1947,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1948,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
1949,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1950,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1951,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
1952,A65,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Pedal cycle,Serious
1953,A6120,Wet/Damp,Darkness: Street lighting unknown,Snowing with high winds,Car,Slight
1954,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1955,A650,Frost/Ice,Daylight: Street lights present,Fine without high winds,Car,Slight
1956,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1957,A61,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
1958,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1959,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1960,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1961,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1962,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1963,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1964,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1965,A61,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1966,A61,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1967,A61,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1968,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
1969,B6157,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
1970,B6157,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Fatal
1971,B6157,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Fatal
1972,B6157,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Fatal
1973,B6157,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Fatal
1974,B6157,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Fatal
1975,A660,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1976,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Serious
1977,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1978,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1979,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1980,A1(M),Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1981,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1982,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1983,M62,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1984,M62,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1985,M62,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1986,M62,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1987,M1,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1988,M1,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1989,A64,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
1990,A65,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1991,B6157,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1992,A654,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1993,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1994,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1995,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1996,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1997,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1998,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1999,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
2000,M1,Dry,Darkness: No street lighting,Fine without high winds,Car,Slight
2001,M1,Dry,Darkness: No street lighting,Fine without high winds,Car,Slight
2002,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
2003,B6159,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
2004,M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
2005,U,Wet/Damp,Daylight: Street lights present,Snowing without high winds,Pedal cyclePedal cycle,Slight
