,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Severity
172,A650,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
173,A650,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
174,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
175,A65,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
176,A65,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
177,A65,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
178,A65,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
179,B6135,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
180,A647,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
181,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Serious
182,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
183,A61,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
184,M62,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
185,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
186,A6210,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
187,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
188,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
189,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
190,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
191,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
192,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
193,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
194,A6110,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
195,A61,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
196,A61,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
197,A653,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
198,A58,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
199,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
200,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
201,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
202,M62,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
203,M62,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
204,A660,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
205,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
206,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
207,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
208,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
209,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
210,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
211,A1(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
212,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
213,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Serious
