1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Severity
A650,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
A65,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
A65,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
A65,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
A65,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
B6135,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
A647,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Serious
U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
A61,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
M62,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
A6210,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
A6110,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
A61,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
A61,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
A653,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
A58,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
M62,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
M62,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
A660,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
A1(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Serious
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
A647,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
A6120,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Fatal
U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
A660,Dry,Daylight: Street lights present,Fine without high winds,Car0,Serious
B6159,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Serious
U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycleCar,Slight
U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycleCar,Slight
M62,Dry,Darkness: Street lights present but unlit,Fine without high winds,Car,Slight
M62,Dry,Darkness: Street lights present but unlit,Fine without high winds,Car,Slight
M62,Dry,Darkness: Street lights present but unlit,Fine without high winds,Car,Slight
M62,Dry,Darkness: Street lights present but unlit,Fine without high winds,Car,Slight
M62,Dry,Darkness: Street lights present but unlit,Fine without high winds,Car,Slight
M62,Dry,Darkness: Street lights present but unlit,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
A647,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Fatal
A647,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
A647,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Pedal cycleCar,Serious
B6159,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
A650,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
A643,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
A643,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
A65,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Motorcycle over 500cc,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
A58(M),Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Slight
U,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
U,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
M62,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
B6157,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
B6157,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
M621,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
M621,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
B6123,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
